Timestamp,Close,xg_boost_buy,reg_log_buy,SVC_buy,xg_boost_sell,reg_log_sell,SVC_sell
1610550600,129.820007,True,True,True,False,False,True
1610550900,129.529998,True,True,True,True,False,True
1610551200,129.804992,True,True,True,False,False,True
1610551500,130.043502,True,True,True,False,False,True
1610551800,130.279998,True,True,True,False,False,True
1610552100,130.706298,True,True,True,False,False,True
1610552400,130.822692,True,True,True,False,False,True
1610552700,131.175399,True,True,True,False,False,True
1610553000,130.946701,True,True,True,False,False,True
1610553300,131.029998,True,True,True,False,False,True
1610553600,130.889999,True,True,True,False,False,True
1610553900,131.355499,True,True,True,False,False,True
1610554200,131.133193,True,True,True,False,False,True
1610554500,130.899993,True,True,True,False,False,True
1610554800,131.190002,True,True,True,False,False,True
1610555100,131.25,True,True,True,False,False,True
1610555400,131.210006,True,True,True,False,False,True
1610555700,131.039901,True,True,True,False,False,True
1610556000,131.419006,True,True,True,False,False,True
1610556300,131.294998,True,True,True,False,False,True
1610556600,131.109893,True,True,True,False,False,True
1610556900,131.149993,True,True,True,False,False,True
1610557200,130.794998,True,True,True,True,False,True
1610557500,130.524993,True,True,True,True,False,True
1610557800,130.809997,True,True,True,True,False,True
1610558100,130.630004,True,True,True,True,False,True
1610558400,130.615005,True,True,True,True,False,True
1610558700,130.723007,True,True,True,True,False,True
1610559000,130.625,True,True,True,True,False,True
1610559300,130.634994,True,True,True,True,False,True
1610559600,130.820007,True,True,True,True,False,True
1610559900,130.855606,True,True,True,True,False,True
1610560200,131.029998,True,True,True,False,False,True
1610560500,131.130004,True,True,True,False,False,True
1610560800,131.229995,True,True,True,False,False,True
1610561100,131.130004,True,True,True,False,False,True
1610561400,131.190002,True,True,True,False,False,True
1610561700,131.073593,True,True,True,False,False,True
1610562000,130.919998,True,True,True,True,False,True
1610562300,130.889999,True,True,True,True,False,True
1610562600,130.854995,True,True,True,True,False,True
1610562900,131.050003,True,True,True,True,False,True
1610563200,130.893295,True,True,True,True,False,True
1610563500,130.869995,True,True,True,True,False,True
1610563800,130.865005,True,True,True,True,False,True
1610564100,130.854995,True,True,True,True,False,True
